CUSTOMER_CODE,INVOICE_CODE,AMOUNT,DATE
CUST0000046426,IN0000028711,1799.8,08-04-23
CUST0000090093,IN0000067798,1400.6,04-03-23
CUST0000042110,IN0000064037,1699.4,01-12-23
CUST0000016271,INV0000087067,950,05-10-23
CUST0000090093,IN0000019500,1020.2,2/27/2023
CUST0000079909,IN0000006048,626.5,7/28/2023
CUST0000027087,IN0000049521,328.3,4/24/2023
CUST0000030095,IN0000055248,322.8,12-02-22
CUST0000050186,IN0000083908,1992.7,6/17/2023
CUST0000050348,IN0000010821,912.6,4/24/2023
CUST0000050348,IN0000082413,1572.6,3/21/2023
CUST0000011532,IN0000044237,1953.2,05-10-23
CUST0000030553,IN0000084912,1132.7,09-12-23
CUST0000033450,IN0000012714,1001.8,12-03-22
CUST0000097751,IN0000003674,174,4/20/2023
CUST0000037703,IN0000077270,821.5,6/17/2023
CUST0000075525,IN0000008337,839,05-06-23
CUST0000059301,IN0000086598,382,3/25/2023
CUST0000082797,IN0000023741,1261.6,04-07-23
CUST0000017340,IN0000063442,931,6/13/2023
CUST0000041833,IN0000066724,1357.7,7/23/2023
CUST0000097400,IN0000036547,1681.2,04-11-23
CUST0000045121,IN0000045049,1884.1,02-10-23
CUST0000036645,IN0000074261,518.3,10/18/2022
CUST0000096935,IN0000075910,1722.4,6/29/2023
CUST0000024114,IN0000039683,839,10/26/2022
CUST0000099686,IN0000000729,1615.8,07-09-23
CUST0000077381,IN0000022627,561.5,5/20/2023
CUST0000037645,IN0000000934,806.4,6/24/2023
CUST0000057317,IN0000082631,79.7,5/26/2023
CUST0000089560,IN0000055963,1004.8,10-06-23
CUST0000064708,IN0000027046,872.9,11/23/2022
CUST0000091710,IN0000046316,780.3,10/19/2022
CUST0000068355,IN0000041780,524.8,9/27/2023
CUST0000088724,IN0000021276,650.8,06-09-23
CUST0000002544,IN0000031674,64.7,10/13/2022
CUST0000001837,IN0000014997,109,10/30/2022
CUST0000079053,IN0000085323,694,02-12-23
CUST0000091934,IN0000093262,814.7,03-09-23
CUST0000045274,IN0000097358,1973.6,3/18/2023
CUST0000007865,IN0000085503,1354.6,2/25/2023
CUST0000040500,IN0000060366,842,03-12-23
CUST0000073723,IN0000068116,1219,12-03-22
CUST0000008900,IN0000036797,1137.2,6/20/2023
CUST0000068928,IN0000074377,1825.9,9/26/2023
CUST0000019403,IN0000042841,213.4,09-06-23
CUST0000097714,IN0000029279,1729.9,3/31/2023
CUST0000098241,IN0000038085,593.3,06-07-23
CUST0000096960,IN0000063162,970.5,11/18/2022
CUST0000008091,IN0000069816,226.3,01-04-23
CUST0000034297,IN0000094649,1144.1,4/26/2023
CUST0000026219,IN0000033989,21.5,2/21/2023
CUST0000094528,IN0000059309,1507.1,10/14/2022
CUST0000052048,IN0000062033,1944.3,6/17/2023
CUST0000037508,IN0000056798,1855.3,01-06-23
CUST0000028119,IN0000023024,1808.2,1/15/2023
CUST0000095147,IN0000025254,489.4,01-07-23
CUST0000053723,IN0000034829,886.1,4/18/2023
CUST0000085746,IN0000051343,1174.2,11/23/2022
CUST0000074184,IN0000044226,1242.1,05-01-23
CUST0000087168,IN0000029621,781.7,1/21/2023
CUST0000086776,IN0000090387,389.8,11-11-22
CUST0000095091,IN0000022562,30.9,2/13/2023
CUST0000071424,IN0000067106,631.4,05-08-23
CUST0000023567,IN0000036877,1632.8,6/30/2023
CUST0000019366,IN0000050612,1047.1,09-02-23
CUST0000094797,IN0000082337,1828.9,11/16/2022
CUST0000053424,IN0000098895,1575.7,8/30/2023
CUST0000051743,IN0000055824,599.3,10/31/2022
CUST0000065573,IN0000070290,1966.4,8/22/2023
CUST0000004103,IN0000044207,1515.7,12/17/2022
CUST0000084183,IN0000033251,215.2,10/18/2022
CUST0000086693,IN0000052538,1376.1,9/28/2023
CUST0000040114,IN0000002230,997.1,03-08-23
CUST0000050015,IN0000084590,894.8,3/24/2023
CUST0000092240,IN0000037089,1597.4,07-03-23
CUST0000090771,IN0000083225,1405.6,9/22/2023
CUST0000056906,IN0000087159,1966.8,12-09-22
CUST0000000516,IN0000033070,879.2,11-10-22
CUST0000046018,IN0000012187,360,4/13/2023
CUST0000023634,IN0000034768,1985.5,8/21/2023
CUST0000028678,IN0000084186,877.5,1/24/2023
CUST0000010947,IN0000078057,1578.2,02-09-23
CUST0000006004,IN0000013224,108.1,12/22/2022
CUST0000030576,IN0000097759,892.9,7/25/2023
CUST0000038349,IN0000075402,549.1,06-08-23
CUST0000075303,IN0000032563,785.9,6/16/2023
CUST0000035748,IN0000071414,998.7,5/15/2023
CUST0000063332,IN0000088931,1679.8,02-10-23
CUST0000010832,IN0000087382,1109.2,3/19/2023
CUST0000061277,IN0000005551,783.4,3/28/2023
CUST0000098309,IN0000075551,431,10/27/2022
